id,match_id,team1_name,team2_name,team1_players,team2_players,winner,created_at,updated_at,updated_by
6,PICFGJ,Wuss Squad,Dried peen,"[""S I L E N T"",""4444"",""TSM Meat Shark#NA1"",""CuteDistraction"",""Unkie Driller""]","[""yo broskie what the fuck?"",""David"",""luvgramy"",""Biiipu"",""Ign: Wreckboy""]",,2025-05-25 06:25:41.10991+00,,
7,3GM8K5,Dried peen,My name is Ross,"[""luvgramy"",""David"",""yo broskie what the fuck?"",""Ign: Wreckboy"",""Biiipu""]","[""S I L E N T"",""TSM Meat Shark#NA1"",""CuteDistraction"",""4444"",""Unkie Driller""]",team1,2025-05-25 07:02:28.47873+00,2025-05-25 07:06:30.719902+00,Quixxy#qte
8,NM320B,Twasen and bumble,Marc Carney's butt,"[""David"",""Unkie Driller"",""S I L E N T"",""CuteDistraction"",""Biiipu""]","[""luvgramy"",""Ign: Wreckboy"",""yo broskie what the fuck?"",""4444"",""TSM Meat Shark#NA1""]",,2025-05-25 07:03:16.106836+00,,
9,5W9ZQL,Dried peen,My name is Ross,"[""David"",""Unkie Driller"",""4444"",""Biiipu"",""CuteDistraction""]","[""Ign: Wreckboy"",""luvgramy"",""yo broskie what the fuck?"",""TSM Meat Shark#NA1"",""S I L E N T""]",team1,2025-05-25 07:04:07.724591+00,2025-05-25 07:56:13.94265+00,4444
10,3BIT5T,David's Coochies,Driller Drug overdose,"[""Retribution"",""S I L E N T"",""TSM Meat Shark#NA1"",""luvgramy"",""Unkie Driller""]","[""CuteDistraction"",""David"",""4444"",""yo broskie what the fuck?"",""Ign: Wreckboy""]",team1,2025-05-25 07:53:02.822646+00,2025-05-25 08:45:36.287279+00,Quixxy#qte
11,H9D0VC,Shaved bootyhole,We are racist,"[""Vizinachi"",""4444"",""S I L E N T"",""TSM Meat Shark#NA1"",""Ign: Wreckboy""]","[""Retribution"",""luvgramy"",""Striker"",""CuteDistraction"",""David""]",team1,2025-05-25 08:33:56.833522+00,2025-05-25 09:19:41.378455+00,Quixxy#qte
12,Q1H4FM,Autotune's cousin,RIP Solace,"[""Ign: Wreckboy"",""Vizinachi"",""Striker"",""CuteDistraction"",""4444""]","[""Brandon"",""David"",""Retribution"",""TSM Meat Shark#NA1"",""S I L E N T""]",team2,2025-05-25 09:19:20.907132+00,2025-05-25 10:15:06.319607+00,S I L E N T
13,PBRV5H,Twasen and bumble,Marc Carney's butt,"[""Vizinachi"",""Sable"",""ryuuto"",""Ign: Wreckboy"",""4444""]","[""David"",""Retribution"",""luvgramy"",""Unkie Driller"",""TSM Meat Shark#NA1""]",,2025-05-26 07:46:01.393001+00,,
14,CCHNM3,Dried peen,My name is Ross,"[""Vizinachi"",""Sable"",""luvgramy"",""Unkie Driller"",""Fighter""]","[""TSM Meat Shark#NA1"",""Retribution"",""David"",""ryuuto"",""Ign: Wreckboy""]",team1,2025-05-26 07:47:52.204856+00,2025-05-26 20:17:38.771956+00,Quixxy#qte
15,VPLI7P,Driller Drug overdose,Austin's Python,"[""luvgramy"",""Vizinachi"",""ryuuto"",""Unkie Driller"",""Sable""]","[""David"",""TSM Meat Shark#NA1"",""Ign: Wreckboy"",""slim7o4"",""Fighter""]",team2,2025-05-26 08:47:01.169697+00,2025-05-26 20:17:44.619741+00,Quixxy#qte
