discord_username,total_matches,wins,losses,win_rate,last_played,display_name,recent_form,longest_win_streak,current_streak,streak_type
Vizinachi,80,42,38,52.50,2025-06-28 08:35:42.640794+00,Vizinachi,LWWLW,6,1,WIN
S I L E N T,74,39,35,52.70,2025-06-28 10:19:56.80468+00,S I L E N T,LWLLL,8,3,LOSS
TSM Meat Shark#NA1,73,38,35,52.05,2025-06-30 10:25:11.340835+00,TSM Meat Shark#NA1,WLLWL,6,1,LOSS
David,73,34,39,46.58,2025-06-30 09:32:34.128884+00,David,WLLLW,4,1,WIN
CuteDistraction,56,27,29,48.21,2025-06-28 10:19:57.098187+00,CuteDistraction,LWWWL,4,1,LOSS
Luvdog,50,26,24,52.00,2025-06-27 09:57:04.722019+00,Luvdog,LLLWW,4,2,WIN
Zeitoun (Nabil) (He/Him),41,25,16,60.98,2025-06-30 10:25:10.319109+00,Zeitoun (Nabil) (He/Him),WWWLW,6,1,WIN
Ign: Wreckboy,47,21,26,44.68,2025-06-30 10:25:10.821552+00,Ign: Wreckboy,WLWLW,4,1,WIN
Retro,36,21,15,58.33,2025-06-30 10:25:11.172212+00,Retro,WWWLL,9,2,LOSS
4444,54,20,34,37.04,2025-06-30 10:25:11.239627+00,4444,WWLWL,3,1,LOSS
Retribution,29,17,12,58.62,2025-06-28 08:35:43.310894+00,Retribution,WWLWL,9,1,LOSS
Beau,31,15,16,48.39,2025-06-30 10:25:10.451905+00,Beau,WLLLW,3,1,WIN
Rhapthorn2,18,13,5,72.22,2025-06-27 09:57:04.822142+00,Rhapthorn2,LWLWW,7,2,WIN
Driller,25,13,12,52.00,2025-06-14 05:06:41.770499+00,Driller,LLWWW,3,3,WIN
RipSR,12,9,3,75.00,2025-06-17 23:51:00.706924+00,RipSR,WWLWL,5,1,LOSS
Matthias H,22,9,13,40.91,2025-06-28 10:19:56.419158+00,Matthias H,LLLLW,3,1,WIN
variableman#000,21,8,13,38.10,2025-06-30 10:25:10.89456+00,variableman#000,LWLWL,2,1,LOSS
Ahmad Shāh Massoud,14,8,6,57.14,2025-06-16 03:50:39.563168+00,Ahmad Shāh Massoud,WLWW,4,2,WIN
way,11,7,4,63.64,2025-06-19 08:50:13.746474+00,way,WWLLW,4,1,WIN
xtoads6,16,7,9,43.75,2025-06-17 08:03:39.940333+00,xtoads6,LLLLW,2,1,WIN
Brandon,15,6,9,40.00,2025-06-30 10:25:10.692795+00,Brandon,LWWLW,2,1,WIN
Wesker Exploiter,5,5,0,100.00,2025-06-19 10:14:59.752568+00,Wesker Exploiter,WWWWW,5,5,WIN
ridn | 七喜零糖#zzzz,8,5,3,62.50,2025-06-20 23:13:37.224875+00,ridn | 七喜零糖#zzzz,LLLWW,3,2,WIN
Sable,16,5,11,31.25,2025-06-28 07:40:45.250814+00,Sable,LLLLW,3,1,WIN
Yisrael,9,5,4,55.56,2025-06-18 02:21:59.141802+00,Yisrael,WWLWW,2,2,WIN
Zylith,11,4,7,36.36,2025-06-14 05:51:23.483419+00,Zylith,LWLLW,2,1,WIN
Blackman,6,4,2,66.67,2025-06-06 07:03:50.362048+00,Blackman,WWLWW,2,2,WIN
ryuuto,10,4,6,40.00,2025-05-29 22:32:54.23715+00,ryuuto,LLLWW,2,2,WIN
Dreamer Broskie Driller,5,4,1,80.00,2025-06-11 07:13:15.736111+00,Dreamer Broskie Driller,WWLWW,2,2,WIN
Brian,7,4,3,57.14,2025-06-30 10:25:10.588049+00,Brian,WWLWW,2,2,WIN
Tranquility,5,4,1,80.00,2025-05-29 22:32:53.677435+00,Tranquility,LWWWW,4,4,WIN
YV,12,4,8,33.33,2025-06-19 10:14:34.842997+00,YV,LWLLL,2,3,LOSS
EV,7,3,4,42.86,2025-06-19 06:05:29.863662+00,EV,LLLWL,2,1,LOSS
evangelist,3,3,0,100.00,2025-06-17 07:16:10.575289+00,evangelist,WWW,3,3,WIN
Luvhog,5,3,2,60.00,2025-06-30 10:25:11.02541+00,Luvhog,WWWLL,3,2,LOSS
Eli,7,3,4,42.86,2025-06-12 08:38:50.841892+00,Eli,WLLWL,2,1,LOSS
Biiipu,3,3,0,100.00,2025-06-08 22:12:21.916985+00,Biiipu,WWW,3,3,WIN
softshrimp,6,3,3,50.00,2025-06-06 09:27:00.406209+00,softshrimp,WLLWW,2,2,WIN
Titanic Crayfish,7,3,4,42.86,2025-06-18 01:14:55.59528+00,Titanic Crayfish,WLWLL,1,2,LOSS
tozaki im a mod,8,3,5,37.50,2025-06-19 08:50:25.726698+00,tozaki im a mod,WLWWL,2,1,LOSS
catattack64,2,2,0,100.00,2025-05-28 04:34:12.48292+00,catattack64,WW,2,2,WIN
panda,4,2,2,50.00,2025-06-16 03:50:39.995943+00,panda,WLWL,1,1,LOSS
Quixxy,5,2,3,40.00,2025-06-28 10:19:56.636698+00,Quixxy,WLLLW,1,1,WIN
Quinn Wuest,2,2,0,100.00,2025-06-28 10:19:56.54892+00,Quinn Wuest,WW,2,2,WIN
Luvgramy,4,2,2,50.00,2025-06-20 23:13:37.497721+00,Luvgramy,LWWL,2,1,LOSS
naehero,3,2,1,66.67,2025-06-07 06:38:10.487415+00,naehero,LWW,2,2,WIN
"Changed ""Driller"" Man",2,2,0,100.00,2025-06-05 09:30:48.084616+00,"Changed ""Driller"" Man",WW,2,2,WIN
lucy,4,2,2,50.00,2025-06-18 01:14:55.833383+00,lucy,LWWL,2,1,LOSS
StrangeUnit,4,2,2,50.00,2025-06-06 07:03:50.86109+00,StrangeUnit,WWLL,2,2,LOSS
dunk,4,2,2,50.00,2025-05-28 13:05:36.335928+00,dunk,LWLW,1,1,WIN
eshshah,3,2,1,66.67,2025-06-07 10:12:57.917181+00,eshshah,WLW,1,1,WIN
ekko,3,2,1,66.67,2025-06-02 07:50:08.520923+00,ekko,WLW,1,1,WIN
Draxx,4,2,2,50.00,2025-05-30 08:22:01.258642+00,Draxx,WLWL,1,1,LOSS
Striker,5,2,3,40.00,2025-06-06 08:46:45.644015+00,Striker,LLWLW,1,1,WIN
Fighter,2,2,0,100.00,2025-05-26 20:17:45.028273+00,Fighter,WW,2,2,WIN
President Rakan,1,1,0,100.00,2025-06-27 09:57:04.92412+00,President Rakan,W,1,1,WIN
"aä, ö玄米って美味しい！",5,1,4,20.00,2025-06-08 08:51:47.240076+00,"aä, ö玄米って美味しい！",WLLLL,1,4,LOSS
HerbaThea,1,1,0,100.00,2025-05-28 03:53:03.161137+00,HerbaThea,W,1,1,WIN
VoltaicViper09,1,1,0,100.00,2025-05-28 04:34:12.340107+00,VoltaicViper09,W,1,1,WIN
kazoo,1,1,0,100.00,2025-05-30 05:48:39.867589+00,kazoo,W,1,1,WIN
rubycharity,1,1,0,100.00,2025-06-07 06:38:10.625235+00,rubycharity,W,1,1,WIN
Cameron,3,1,2,33.33,2025-05-28 13:05:36.485308+00,Cameron,LLW,1,1,WIN
Wilson,2,1,1,50.00,2025-05-28 13:05:36.642093+00,Wilson,LW,1,1,WIN
Ledge,1,1,0,100.00,2025-06-01 07:22:48.11295+00,Ledge,W,1,1,WIN
Domo,2,1,1,50.00,2025-05-28 13:05:37.073088+00,Domo,WL,1,1,LOSS
BigPapa,1,1,0,100.00,2025-06-06 05:24:25.721239+00,BigPapa,W,1,1,WIN
CyaNoobK0,6,1,5,16.67,2025-06-14 04:39:51.13151+00,CyaNoobK0,LLLLL,1,5,LOSS
Osaucejones,1,1,0,100.00,2025-05-29 07:40:07.717296+00,Osaucejones,W,1,1,WIN
slim7o4,1,1,0,100.00,2025-05-26 20:17:44.935092+00,slim7o4,W,1,1,WIN
cammioo.,1,1,0,100.00,2025-06-05 09:30:47.691594+00,cammioo.,W,1,1,WIN
kynxsolarsun,1,1,0,100.00,2025-06-28 10:19:56.199897+00,kynxsolarsun,W,1,1,WIN
institutional,2,1,1,50.00,2025-06-07 07:19:53.890862+00,institutional,WL,1,1,LOSS
Rockstar wolf,1,1,0,100.00,2025-06-02 07:50:08.626384+00,Rockstar wolf,W,1,1,WIN
Rev. Dank,2,1,1,50.00,2025-06-06 06:12:57.021083+00,Rev. Dank,LW,1,1,WIN
jiffy,3,1,2,33.33,2025-06-09 08:34:25.572351+00,jiffy,LWL,1,1,LOSS
Vivian,1,1,0,100.00,2025-06-07 06:38:10.733581+00,Vivian,W,1,1,WIN
Price,1,1,0,100.00,2025-06-07 07:19:53.371548+00,Price,W,1,1,WIN
Taliatt,1,1,0,100.00,2025-06-17 23:51:00.5927+00,Taliatt,W,1,1,WIN
SafeLight,4,1,3,25.00,2025-06-28 10:19:57.008054+00,SafeLight,LLWL,1,1,LOSS
Tsawwassen,2,1,1,50.00,2025-06-20 23:13:36.95625+00,Tsawwassen,LW,1,1,WIN
Recursive Grey,2,1,1,50.00,2025-06-20 23:13:37.940119+00,Recursive Grey,WL,1,1,LOSS
vvicked_sin,2,1,1,50.00,2025-06-08 22:59:33.687617+00,vvicked_sin,WL,1,1,LOSS
pluto,1,1,0,100.00,2025-06-18 01:14:55.391155+00,pluto,W,1,1,WIN
Quixxy#qte,4,1,3,25.00,2025-06-13 10:19:14.075405+00,Quixxy#qte,LWLL,1,2,LOSS
VanceTecs,2,1,1,50.00,2025-06-18 02:21:58.98919+00,VanceTecs,LW,1,1,WIN
メ,2,1,1,50.00,2025-06-18 02:21:59.427038+00,メ,WL,1,1,LOSS
ign: AsahiKen,1,1,0,100.00,2025-06-16 03:50:39.420652+00,ign: AsahiKen,W,1,1,WIN
Player2,1,1,0,100.00,2025-06-17 06:28:12.258021+00,Player2,W,1,1,WIN
Unfortunate Retribution,1,1,0,100.00,2025-06-19 08:50:25.447383+00,Unfortunate Retribution,W,1,1,WIN
Vyrenn,4,1,3,25.00,2025-06-19 08:50:25.814402+00,Vyrenn,LLWL,1,1,LOSS
Hoho,1,0,1,0.00,2025-06-01 09:05:07.028323+00,Hoho,L,0,1,LOSS
Clown,2,0,2,0.00,2025-06-01 07:22:48.452909+00,Clown,LL,0,2,LOSS
"Flippy bird, Fuckface/otherside",1,0,1,0.00,2025-06-12 05:52:56.997981+00,"Flippy bird, Fuckface/otherside",L,0,1,LOSS
Caleb,1,0,1,0.00,2025-06-12 05:52:57.240249+00,Caleb,L,0,1,LOSS
isaku,1,0,1,0.00,2025-06-17 06:28:12.971851+00,isaku,L,0,1,LOSS
Myyst,2,0,2,0.00,2025-06-03 07:20:39.460397+00,Myyst,LL,0,2,LOSS
⪩𝘺𝘶𝘯𝘰⪨,2,0,2,0.00,2025-05-28 13:05:37.192641+00,⪩𝘺𝘶𝘯𝘰⪨,LL,0,2,LOSS
Pimp Named SlickBack,1,0,1,0.00,2025-06-07 06:38:11.347419+00,Pimp Named SlickBack,L,0,1,LOSS
Giovanni Reyes,1,0,1,0.00,2025-06-28 07:40:46.104147+00,Giovanni Reyes,L,0,1,LOSS
Lumi,1,0,1,0.00,2025-05-28 13:05:37.272516+00,Lumi,L,0,1,LOSS
nikola,1,0,1,0.00,2025-06-17 23:51:00.924281+00,nikola,L,0,1,LOSS
Jordan,3,0,3,0.00,2025-05-30 08:22:01.332175+00,Jordan,LLL,0,3,LOSS
Flora Aine,1,0,1,0.00,2025-06-19 06:05:29.788584+00,Flora Aine,L,0,1,LOSS
